"";"interaction";"vac";"X";"ref";"rep";"year";"age";"partner";"Ntot";"N_5";"N_10";"Nvac";"val_prevNVtot";"val_prevNV_5";"val_prevNV_10";"val_prevNV_Vac";"val_prevNV_unVac";"val_prevVtot";"val_prevV_5";"val_prevV_10";"val_prevV_Vac";"val_prevV_unVac"
"10510";1,5;0,4;10;18;11;10;25;"all";266450;266825;267523;106418;0,048114092700319;0,0549798557106718;0,0550233064072996;0,0449266101599353;0,0502337032593481;0,0320735597673109;0,0643193104094444;0,0648804028064877;0;0,0534018196360728
"10511";1,5;0,4;11;18;11;10;25;"1-3";177449;177815;178518;70715;0,0498058597118045;0,057138036723561;0,0581566004548561;0,0468500318178604;0,0517641988494763;0,0332151773185535;0,0697241515057785;0,070799583235304;0;0,0552213914966178
"10512";1,5;0,4;12;18;11;10;25;">3";6221;6317;6254;2501;0,58913357981032;0,654107962640494;0,631435881036137;0,536985205917633;0,624193548387097;0,391255425172802;0,683394016146905;0,690598017268948;0;0,654301075268817
"10513";1,5;0,4;13;18;11;15;30;"all";400079;400415;400605;159975;0,0479430312513279;0,0570857735099834;0,0571860061656744;0,0450632911392405;0,0498617265851464;0,0273795925304752;0,0639961040420564;0,0649093246464722;0;0,0456218971778896
"10514";1,5;0,4;14;18;11;15;30;"1-3";299817;300216;300477;119857;0,0415853670739151;0,0517793855091001;0,0524499379320214;0,039230082514997;0,0431540342298289;0,0226971786122868;0,0602732699123298;0,0616186929448843;0;0,0378139586574794
"10515";1,5;0,4;15;18;11;15;30;">3";10145;10243;10153;4068;0,623459832429768;0,667870740993849;0,653993893430513;0,581858407079646;0,651308211288465;0,385017249876787;0,682612515864493;0,687973997833153;0;0,642751357577752
"10516";1,5;0,4;16;18;11;20;30;"all";400379;400415;400605;160013;0,0457066929084692;0,0570857735099834;0,0571860061656744;0,0435589608344322;0,0471364502467071;0,0255108284900057;0,0639961040420564;0,0649093246464722;0;0,0424935306990173
"10517";1,5;0,4;17;18;11;20;30;"1-3";299700;300216;300477;119768;0,039285952619286;0,0517793855091001;0,0524499379320214;0,0380903079286621;0,0400818086832804;0,0205505505505506;0,0602732699123298;0,0616186929448843;0;0,0342295978480759
"10518";1,5;0,4;18;18;11;20;30;">3";10154;10243;10153;4065;0,611286192633445;0,667870740993849;0,653993893430513;0,56629766297663;0,641320413861061;0,38004727201103;0,682612515864493;0,687973997833153;0;0,633765807193299
"10519";1,5;0,4;19;18;11;25;30;"all";399917;400415;400605;159945;0,0440566417531638;0,0570857735099834;0,0571860061656744;0,0407515083309888;0,0462595636157552;0,0247476351342904;0,0639961040420564;0,0649093246464722;0;0,0412423116030204
"10520";1,5;0,4;20;18;11;25;30;"1-3";300019;300216;300477;119868;0,0368609988034091;0,0517793855091001;0,0524499379320214;0,034079153735776;0,0387119694034449;0,019635423089871;0,0602732699123298;0,0616186929448843;0;0,0327003458210057
"10521";1,5;0,4;21;18;11;25;30;">3";10196;10243;10153;4126;0,607100823852491;0,667870740993849;0,653993893430513;0,561318468250121;0,638220757825371;0,375539427226363;0,682612515864493;0,687973997833153;0;0,630807248764415
"10522";1,5;0,4;22;18;11;30;30;"all";399805;400415;400605;159752;0,044334112880029;0,0570857735099834;0,0571860061656744;0,0416520606940758;0,0461189820581288;0,0248696239416716;0,0639961040420564;0,0649093246464722;0;0,0414200197456395
"10523";1,5;0,4;23;18;11;30;30;"1-3";299815;300216;300477;119866;0,0372863265680503;0,0517793855091001;0,0524499379320214;0,0352310079588874;0,0386553968068731;0,019305238230242;0,0602732699123298;0,0616186929448843;0;0,0321646688784044
"10524";1,5;0,4;24;18;11;30;30;">3";10104;10243;10153;4004;0,614707046714173;0,667870740993849;0,653993893430513;0,578671328671329;0,638360655737705;0,389449722882027;0,682612515864493;0,687973997833153;0;0,645081967213115
"10525";1,5;0,4;25;18;11;35;30;"all";399556;400415;400605;159568;0,0430352691487551;0,0570857735099834;0,0571860061656744;0,0402336308031686;0,0448980782372452;0,0243745557568901;0,0639961040420564;0,0649093246464722;0;0,040581195726453
"10526";1,5;0,4;26;18;11;35;30;"1-3";299877;300216;300477;119704;0,0356679571957836;0,0517793855091001;0,0524499379320214;0,0332820958363964;0,0372530845354187;0,0189477685851199;0,0602732699123298;0,0616186929448843;0;0,0315363567238154
"10527";1,5;0,4;27;18;11;35;30;">3";10126;10243;10153;4123;0,610211337151886;0,667870740993849;0,653993893430513;0,56560756730536;0,640846243544894;0,381394430179735;0,682612515864493;0,687973997833153;0;0,643344994169582
"10528";1,5;0,4;28;18;11;40;30;"all";399666;400415;400605;159103;0,0439542017584683;0,0570857735099834;0,0571860061656744;0,0406906217984576;0,0461126607167353;0,0243203074567264;0,0639961040420564;0,0649093246464722;0;0,0404052160972386
"10529";1,5;0,4;29;18;11;40;30;"1-3";299858;300216;300477;119394;0,0362871759299402;0,0517793855091001;0,0524499379320214;0,0335611504765734;0,0380906995301002;0,0186088081692001;0,0602732699123298;0,0616186929448843;0;0,0309202943523362
"10530";1,5;0,4;30;18;11;40;30;">3";10269;10243;10153;4140;0,619242379978576;0,667870740993849;0,653993893430513;0,567874396135266;0,653940283896231;0,382899990261953;0,682612515864493;0,687973997833153;0;0,64154021863273
"10531";1,5;0,4;1;18;12;1;16;"all";26774;26676;26951;10626;0,00847837454246657;0,00910931174089069;0,00957292864828763;0,00799924712968191;0,00879365865741888;0,00746993351759169;0,0149197780776728;0,0143222885978257;0;0,012385434728759
"10532";1,5;0,4;2;18;12;1;16;"1-3";9454;9452;9357;3701;0,0151258726464988;0,0158696572154041;0,0154964197926686;0,0140502566873818;0,0158178341734747;0,0145969959805373;0,0274016081252645;0,0265042214384952;0;0,0239874847905441
"10533";1,5;0,4;3;18;12;1;16;">3";185;189;201;74;0,454054054054054;0,492063492063492;0,562189054726368;0,445945945945946;0,459459459459459;0,335135135135135;0,735449735449735;0,686567164179104;0;0,558558558558559
"10534";1,5;0,4;4;18;12;3;18;"all";79725;80085;79914;31745;0,0208341172781436;0,0219766498095773;0,0217358660560102;0,0194361316742794;0,0217590662776157;0,0178112260896833;0,0312168321158769;0,0298696098305679;0;0,0295956648603585
"10535";1,5;0,4;5;18;12;3;18;"1-3";36502;36591;36239;14635;0,0288203386115829;0,030799923478451;0,0304920113689671;0,0270584215920738;0,029999542689898;0,0260259711796614;0,0481265885053702;0,0460829493087558;0;0,0434444596881145
"10536";1,5;0,4;6;18;12;3;18;">3";1022;1016;1005;382;0,569471624266145;0,604330708661417;0,608955223880597;0,547120418848168;0,5828125;0,438356164383562;0,686023622047244;0,678606965174129;0;0,7
"10537";1,5;0,4;7;18;12;5;20;"all";132953;133334;133056;53057;0,039540288673441;0,040919795401023;0,0405693843193843;0,0378272423996834;0,0406778812456193;0,0299880408866291;0,0524997375013125;0,052150974025974;0;0,0499023730850105
"10538";1,5;0,4;8;18;12;5;20;"1-3";71012;71061;70348;28430;0,0446685067312567;0,0467767129649175;0,0459998862796384;0,0431234611326064;0,0457000610586633;0,0360079986481158;0,0651552891178002;0,0654176380280889;0;0,060048846930628
"10539";1,5;0,4;9;18;12;5;20;">3";3359;3250;3286;1327;0,598392378684132;0,632615384615385;0,633901399878271;0,566691785983421;0,619094488188976;0,406370943733254;0,689230769230769;0,676506390748631;0;0,671751968503937
"10540";1,5;0,4;10;18;12;10;25;"all";266057;266390;266640;106321;0,0491586389382726;0,0553361612673148;0,0548379837983798;0,0457576584117907;0,0514223468723394;0,0317789045204599;0,0650061939261984;0,065500300030003;0;0,0529310862923824
"10541";1,5;0,4;11;18;12;10;25;"1-3";177563;177456;177558;70981;0,050708762523724;0,0581383554233162;0,0579866860406177;0,0472379932658035;0,053020209791522;0,0327433080089884;0,07100351636462;0,07215670372498;0;0,054549548704284
"10542";1,5;0,4;12;18;12;10;25;">3";6268;6287;6173;2521;0,595405232929164;0,645299825035788;0,638425400939576;0,547798492661642;0,62743528155858;0,386566687938736;0,68267854302529;0,685890166855662;0;0,646650653856419
"10543";1,5;0,4;13;18;12;15;30;"all";399714;399974;399859;159698;0,0469360592823869;0,0577587543190307;0,0569000572701877;0,0439892797655575;0,0488967402173188;0,0269517705159189;0,0651817368128928;0,0652705078540185;0;0,0448845076994867
"10544";1,5;0,4;14;18;12;15;30;"1-3";300005;299841;299874;119870;0,041025982900285;0,0530047591890369;0,0523853351741065;0,0382831400684074;0,0428511949371305;0,0222462958950684;0,0617227130379101;0,0622094613070823;0;0,037049990285064
"10545";1,5;0,4;15;18;12;15;30;">3";10139;10241;10073;4127;0,60242627478055;0,658822380626892;0,652040107217314;0,561424763750909;0,630572188955422;0,383371141138179;0,68772580802656;0,688970515238757;0;0,646540252827678
"10546";1,5;0,4;16;18;12;20;30;"all";400269;399974;399859;159812;0,0451821150276439;0,0577587543190307;0,0569000572701877;0,0421933271594123;0,0471685166162765;0,0249332324012102;0,0651817368128928;0,0652705078540185;0;0,0415043022245142
"10547";1,5;0,4;17;18;12;20;30;"1-3";299992;299841;299874;119946;0,0382810208272221;0,0530047591890369;0,0523853351741065;0,0358411285078285;0,039906468346978;0,0193138483692898;0,0617227130379101;0,0622094613070823;0;0,0321806649411817
"10548";1,5;0,4;18;18;12;20;30;">3";10200;10241;10073;4067;0,611470588235294;0,658822380626892;0,652040107217314;0,568232112121957;0,640143486059025;0,385196078431373;0,68772580802656;0,688970515238757;0;0,640632643078428
"10549";1,5;0,4;19;18;12;25;30;"all";400394;399974;399859;159652;0,0443113533169828;0,0577587543190307;0,0569000572701877;0,0421729762232856;0,0457294531074761;0,0245583100645864;0,0651817368128928;0,0652705078540185;0;0,0408445555823246
"10550";1,5;0,4;20;18;12;25;30;"1-3";299796;299841;299874;119615;0,0376956330304607;0,0530047591890369;0,0523853351741065;0,0359988295782302;0,0388220733595662;0,0192797769149688;0,0617227130379101;0,0622094613070823;0;0,0320788540412141
"10551";1,5;0,4;21;18;12;25;30;">3";10147;10241;10073;4105;0,601655661771952;0,658822380626892;0,652040107217314;0,561997563946407;0,628599801390268;0,379323938109786;0,68772580802656;0,688970515238757;0;0,637040714995035
"10552";1,5;0,4;22;18;12;30;30;"all";399815;399974;399859;159641;0,0427572752397984;0,0577587543190307;0,0569000572701877;0,0399082942351902;0,0446509613863282;0,0243462601453172;0,0651817368128928;0,0652705078540185;0;0,0405289498446959
"10553";1,5;0,4;23;18;12;30;30;"1-3";299708;299841;299874;119547;0,0357548013399709;0,0530047591890369;0,0523853351741065;0,033099952320008;0,0375164436254239;0,0192053598836201;0,0617227130379101;0,0622094613070823;0;0,0319492009924456
"10554";1,5;0,4;24;18;12;30;30;">3";10076;10241;10073;4131;0,598947995236205;0,658822380626892;0,652040107217314;0,557734204793028;0,627586206896552;0,375248114331084;0,68772580802656;0,688970515238757;0;0,635996635828427
"10555";1,5;0,4;25;18;12;35;30;"all";398975;399974;399859;159134;0,0433561000062661;0,0577587543190307;0,0569000572701877;0,0404124825618661;0,0453091840010674;0,0241368506798672;0,0651817368128928;0,0652705078540185;0;0,0401516004352884
"10556";1,5;0,4;26;18;12;35;30;"1-3";299550;299841;299874;119694;0,0361876147554665;0,0530047591890369;0,0523853351741065;0,0339365381723395;0,0376857041188506;0,0187013854114505;0,0617227130379101;0,0622094613070823;0;0,0311471399341696
"10557";1,5;0,4;27;18;12;35;30;">3";10100;10241;10073;4040;0,606237623762376;0,658822380626892;0,652040107217314;0,556435643564356;0,639438943894389;0,378613861386139;0,68772580802656;0,688970515238757;0;0,631023102310231
"10558";1,5;0,4;28;18;12;40;30;"all";398579;399974;399859;158945;0,0433590329646068;0,0577587543190307;0,0569000572701877;0,040718487527132;0,0451104601183471;0,0242335898278635;0,0651817368128928;0,0652705078540185;0;0,0403073019688358
"10559";1,5;0,4;29;18;12;40;30;"1-3";298933;299841;299874;119293;0,0356969621955421;0,0530047591890369;0,0523853351741065;0,033589565188234;0,0370964150523269;0,0185626879601784;0,0617227130379101;0,0622094613070823;0;0,0308895568915609
"10560";1,5;0,4;30;18;12;40;30;">3";10272;10241;10073;4119;0,610591900311526;0,658822380626892;0,652040107217314;0,570526826899733;0,637412644238583;0,382398753894081;0,68772580802656;0,688970515238757;0;0,638387778319519
"10561";1,5;0,4;1;18;13;1;16;"all";26790;26399;26788;10739;0,00888391190742814;0,00890185234289178;0,00914588621770942;0,0098705652295372;0,00822378667995764;0,00798805524449421;0,0140535626349483;0,0136628341048231;0;0,0133325026478101
"10562";1,5;0,4;2;18;13;1;16;"1-3";9303;9264;9338;3730;0,0146189401268408;0,0145725388601036;0,014135789248233;0,0158176943699732;0,0138166158263054;0,0158013544018059;0,0241796200345423;0,0232383808095952;0;0,0263771756684012
"10563";1,5;0,4;3;18;13;1;16;">3";188;212;210;80;0,542553191489362;0,471698113207547;0,538095238095238;0,5875;0,509259259259259;0,356382978723404;0,693396226415094;0,70952380952381;0;0,62037037037037
"10564";1,5;0,4;4;18;13;3;18;"all";79947;79813;80050;31995;0,0210014134364016;0,0211995539573754;0,0213116801998751;0,0209407719956243;0,0210418752085419;0,0176867174503108;0,0308846929698169;0,029631480324797;0;0,0294878211544878
"10565";1,5;0,4;5;18;13;3;18;"1-3";36451;36555;36520;14586;0,0294367781405174;0,0295718779920667;0,0294633077765608;0,0292746469217057;0,0295449348273496;0,0273792214205372;0,0481739844070579;0,0445783132530121;0;0,045643722844729
"10566";1,5;0,4;6;18;13;3;18;">3";1008;1002;1046;426;0,578373015873016;0,587824351297405;0,58604206500956;0,544600938967136;0,603092783505155;0,390873015873016;0,673652694610778;0,68546845124283;0;0,676975945017182
"10567";1,5;0,4;7;18;13;5;20;"all";133353;132948;133459;53062;0,0375844562926968;0,0394515148779974;0,0393454169445298;0,0366740793788398;0,0381860980682766;0,0295456420178024;0,0525318169509884;0,0520759184468638;0;0,0490715024099837
"10568";1,5;0,4;8;18;13;5;20;"1-3";70932;70798;71015;28262;0,0420543619240963;0,0447187773665923;0,0436245863549954;0,0412214280659543;0,0426060464026248;0,0364433541983872;0,0660329387835815;0,063718932619869;0;0,0605812045933911
"10569";1,5;0,4;9;18;13;5;20;">3";3277;3211;3354;1328;0,593225511138236;0,614450327000934;0,612104949314252;0,563253012048193;0,613648024628014;0,390906316753128;0,680784802242292;0,682170542635659;0;0,657260133401744
"10570";1,5;0,4;10;18;13;10;25;"all";266501;266407;267205;106659;0,0482962540478272;0,0541051849238196;0,0539847682490971;0,0446750860218078;0,050712578671438;0,0303863775370449;0,0646604631259689;0,0640294904661215;0;0,050662529247632
"10571";1,5;0,4;11;18;13;10;25;"1-3";178183;177857;178385;71312;0,0495557937625924;0,0568490416458166;0,0560248899851445;0,0458267893201705;0,0520440531107597;0,0307436736388993;0,070989615252703;0,0693387896964431;0;0,0512580587811474
"10572";1,5;0,4;12;18;13;10;25;">3";6193;6205;6293;2484;0,602454383981915;0,634810636583401;0,644207849992055;0,558373590982287;0,631976273928283;0,388826093977071;0,675745366639807;0,684252343874146;0;0,649231598813696
"10573";1,5;0,4;13;18;13;15;30;"all";400195;400152;400125;160209;0,0469646047551818;0,0563036046302405;0,0555626366760387;0,0437553445811409;0,0491070312434892;0,0262122215419983;0,0645529698714488;0,0639325210871603;0;0,0437108831348495
"10574";1,5;0,4;14;18;13;15;30;"1-3";299867;300361;300258;120051;0,0407480649754725;0,0513182470427253;0,0502467877625242;0,0377006438930121;0,0427826222360635;0,0216029106237098;0,0610898219142965;0,060045027942636;0;0,0360257151755127
"10575";1,5;0,4;15;18;13;15;30;">3";10074;10161;10234;4063;0,615842763549732;0,656431453597087;0,654387336329881;0,581589958158996;0,638995175511562;0,376513797895573;0,686251353213266;0,688977916748095;0;0,631009815338546
"10576";1,5;0,4;16;18;13;20;30;"all";400427;400152;400125;160329;0,0448071683477887;0,0563036046302405;0,0555626366760387;0,0423192310810895;0,0464685253521479;0,0245512914963277;0,0645529698714488;0,0639325210871603;0;0,0409457804729735
"10577";1,5;0,4;17;18;13;20;30;"1-3";299947;300361;300258;120221;0,0379467039176921;0,0513182470427253;0,0502467877625242;0,035742507548598;0,0394211188141949;0,0188433289881212;0,0610898219142965;0,060045027942636;0;0,0314478706475413
"10578";1,5;0,4;18;18;13;20;30;">3";10294;10161;10234;4212;0,604624052846318;0,656431453597087;0,654387336329881;0,563865147198481;0,632851035843473;0,383815815037886;0,686251353213266;0,688977916748095;0;0,649621834922723
"10579";1,5;0,4;19;18;13;25;30;"all";400573;400152;400125;160175;0,044680994475414;0,0563036046302405;0,0555626366760387;0,0416856563134072;0,0466767610379454;0,0247869926330532;0,0645529698714488;0,0639325210871603;0;0,0413023402856929
"10580";1,5;0,4;20;18;13;25;30;"1-3";300218;300361;300258;119995;0,0375527116961675;0,0513182470427253;0,0502467877625242;0,03510146256094;0,0391847877351947;0,0190428288776822;0,0610898219142965;0,060045027942636;0;0,0317218113115418
"10581";1,5;0,4;21;18;13;25;30;">3";10296;10161;10234;4104;0,609459984459985;0,656431453597087;0,654387336329881;0,572368421052632;0,634043927648579;0,388694638694639;0,686251353213266;0,688977916748095;0;0,646317829457364
"10582";1,5;0,4;22;18;13;30;30;"all";400538;400152;400125;160088;0,0440582416649606;0,0563036046302405;0,0555626366760387;0,0416520913497576;0,0456602204200457;0,0242398973380803;0,0645529698714488;0,0639325210871603;0;0,0403784570596798
"10583";1,5;0,4;23;18;13;30;30;"1-3";300596;300361;300258;120294;0,036417650268134;0,0513182470427253;0,0502467877625242;0,0346484446439556;0,037598029971936;0,0183235971203875;0,0610898219142965;0,060045027942636;0;0,0305487459928342
"10584";1,5;0,4;24;18;13;30;30;">3";10241;10161;10234;4055;0,619763694951665;0,656431453597087;0,654387336329881;0,581257706535142;0,645004849660524;0,389805683038766;0,686251353213266;0,688977916748095;0;0,645328160362108
"10585";1,5;0,4;25;18;13;35;30;"all";400608;400152;400125;160322;0,0446696022046489;0,0563036046302405;0,0555626366760387;0,0415039732538267;0,0467817517458362;0,0246974598610113;0,0645529698714488;0,0639325210871603;0;0,0411759320143496
"10586";1,5;0,4;26;18;13;35;30;"1-3";299987;300361;300258;120045;0,0376716324374056;0,0513182470427253;0,0502467877625242;0,0351784747386397;0,03933489680008;0,0192708350695197;0,0610898219142965;0,060045027942636;0;0,0321270187060275
"10587";1,5;0,4;27;18;13;35;30;">3";10237;10161;10234;4040;0,610823483442415;0,656431453597087;0,654387336329881;0,569306930693069;0,63788930127481;0,381752466542932;0,686251353213266;0,688977916748095;0;0,630627723091819
"10588";1,5;0,4;28;18;13;40;30;"all";400103;400152;400125;160157;0,0442885956866107;0,0563036046302405;0,0555626366760387;0,0408911255830217;0,0465563085027465;0,0243112398557371;0,0645529698714488;0,0639325210871603;0;0,0405382877814175
"10589";1,5;0,4;29;18;13;40;30;"1-3";299878;300361;300258;119964;0,0376186315768412;0,0513182470427253;0,0502467877625242;0,035035510653196;0,0393410184866103;0,018830991269783;0,0610898219142965;0,060045027942636;0;0,0313872183376502
"10590";1,5;0,4;30;18;13;40;30;">3";10083;10161;10234;3981;0,604581969651889;0,656431453597087;0,654387336329881;0,557146445616679;0,635529334644379;0,384607755628285;0,686251353213266;0,688977916748095;0;0,635529334644379
"10591";1,5;0,4;1;18;14;1;16;"all";26674;26768;26441;10694;0,00978480917747619;0,00922743574417215;0,00903899247380961;0,00878997568730129;0,010450563204005;0,00798530404138862;0,0126270173341303;0,0134261185280436;0;0,0133291614518148
"10592";1,5;0,4;2;18;14;1;16;"1-3";9400;9391;9447;3795;0,0153191489361702;0,015653285060164;0,0153487879750185;0,0129117259552042;0,0169491525423729;0,0138297872340426;0,0232137152592908;0,0237112310786493;0;0,0231935771632471
"10593";1,5;0,4;3;18;14;1;16;">3";232;193;194;98;0,504310344827586;0,518134715025907;0,484536082474227;0,459183673469388;0,537313432835821;0,357758620689655;0,621761658031088;0,675257731958763;0;0,619402985074627
"10594";1,5;0,4;4;18;14;3;18;"all";80220;80131;79564;31989;0,0212166542009474;0,0213275760941458;0,0214292896284752;0,0196630091593985;0,022247102485953;0,0172525554724508;0,0290399470866456;0,0292343270826002;0;0,0286952375028509
"10595";1,5;0,4;5;18;14;3;18;"1-3";36531;36369;36669;14564;0,028195231447264;0,0298605955621546;0,0293708582181134;0,0265723702279594;0,0292711794965175;0,0254304563247653;0,0447359014545355;0,0442335487741689;0;0,0422907087904584
"10596";1,5;0,4;6;18;14;3;18;">3";1112;1001;995;436;0,591726618705036;0,598401598401598;0,610050251256281;0,555045871559633;0,615384615384615;0,386690647482014;0,672327672327672;0,668341708542714;0;0,636094674556213
"10597";1,5;0,4;7;18;14;5;20;"all";133305;133452;132687;53207;0,0381231011589963;0,0389053742169469;0,0398155056637048;0,0346195049523559;0,0404504482009538;0,0283185176850081;0,0509021970446303;0,0501254832802008;0;0,0471297660366052
"10598";1,5;0,4;8;18;14;5;20;"1-3";70891;70719;70871;28350;0,0430661155858995;0,0437081972312957;0,0441788601825853;0,0392239858906526;0,0456265720128817;0,0336431987135179;0,0634624358376108;0,0615061167473297;0;0,0560635622105733
"10599";1,5;0,4;9;18;14;5;20;">3";3275;3255;3260;1255;0,595725190839695;0,620890937019969;0,632208588957055;0,560956175298805;0,617326732673267;0,398167938931298;0,668202764976959;0,668098159509202;0;0,645544554455446
